,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
Other transportation and support activities,---,127,66,1782,4,12188,---,853,1510,142,164,19,---,3,8,---,353,285,805,96,---,745,468,1955,228,660,59064,2317,1083,718,20577,20762,1955,3245,64578,378,1069,43863,2161,2039,1428,358,6981,195,3335,470,---,---,---,2601,1148,578,20140,632,4515,2475,501,2050,3407,416,1264,525,574,97,633,2553,1,114,856,843,5488,310452,32877,---,---,---,---,---,15285,---,---,---,---,---,---,---,---,---,---,---,---,358614
Warehousing and storage,306,---,11,285,---,558,---,3579,2257,129,1717,635,1515,71,223,117,125,677,4041,1723,624,3716,1829,4148,3026,5938,28449,7696,10446,12670,39019,13,2,512,17998,96,57,1874,13731,704,301,870,1366,---,---,73,---,1,94,448,232,125,1328,5,3282,121,121,708,959,137,261,135,107,653,1904,1080,100,262,---,3932,118,189238,106,---,---,---,---,---,180,---,---,---,---,---,---,---,---,---,---,---,---,189525
"Publishing industries, except internet (includes software)",46,1,38,0,1,274,818,2,1,5,37,33,6,1,13,44,6,31,7,---,0,6,51,4,25,10,2624,237,112,157,1090,6,74,---,114,5,---,657,165,16699,83,1134,2948,223,1179,204,32,68,484,348,1602,1228,5996,2843,3282,14,1098,1845,1524,116,972,26,81,110,132,1030,1541,1610,141,13854,151,69304,195316,---,219357,---,---,6659,43605,---,---,3011,---,---,---,3614,---,---,---,10692,---,551558
Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,30,555,328,---,296,4,---,---,10,---,306,37,---,71,21591,56205,22,12,39,---,---,---,179,479,15,27,4968,242,117,---,4270,55,27,2543,2349,93,145,2807,4408,920,1783,805,6,1485,---,107229,25096,---,41899,---,---,541,17430,---,---,---,---,---,---,---,---,---,---,---,---,192195
Broadcasting and telecommunications,351,19,1129,150,270,1662,7683,131,267,157,618,529,79,96,276,150,105,360,723,62,38,221,292,350,452,399,19016,1864,823,669,13173,258,128,84,7284,647,945,5322,669,3372,573,114932,11000,4790,6739,5231,759,2903,17077,1858,5189,4040,17630,5924,18459,810,2325,5906,4025,850,1325,320,1141,1581,6428,6032,3392,4639,314,42597,807,370417,356215,7146,31482,---,---,---,10164,---,---,---,---,---,---,---,---,---,---,---,---,775424
"Data processing, internet publishing, and other information services",---,0,72,5,6,2580,1549,709,761,880,2299,1351,375,233,717,558,480,889,1313,232,129,853,391,774,603,1197,5751,2496,1676,1305,9384,125,1,---,435,52,88,1803,216,3141,267,6080,25652,5085,4406,2079,1123,72,1160,7450,4712,3490,26072,8985,36634,1184,5937,2258,4862,387,1882,564,937,616,5092,9147,11608,7246,252,17710,2234,250615,130120,---,19341,---,---,---,5813,---,---,732,---,---,---,651,---,---,---,2290,---,409562
"Federal Reserve banks, credit intermediation, and related activities",1186,62,3008,499,726,11963,10315,214,932,663,1226,1180,591,290,985,599,381,769,2964,203,169,326,315,589,1489,1128,24765,2351,3414,3836,20573,1826,5441,502,11118,7253,423,3265,1190,2204,1908,5281,3314,24180,47106,11955,3152,125140,78197,24182,4546,3544,26408,15768,15520,412,2592,9995,2198,2262,1727,483,1528,1090,3291,14700,330,423,1948,4836,10349,579300,335078,---,---,---,---,---,75475,---,---,---,---,---,---,---,---,---,---,---,---,989853
"Securities, commodity contracts, and investments",232,34,3280,1467,3662,1049,3432,35,87,938,1534,1424,50,229,1032,518,394,833,223,16,9,37,51,107,47,109,2943,243,338,560,1385,4691,1034,7181,2315,1106,285,4937,68,489,621,709,283,22479,71424,8174,118726,68,8249,1492,1286,549,4879,12076,3554,82,585,1832,13415,526,3003,339,141,2553,4990,19202,22,129,75,27004,3189,380058,310892,---,---,---,---,---,96372,---,---,---,---,---,---,---,---,---,---,---,---,787323
Insurance carriers and related activities,2722,564,10081,1068,1264,1297,910,150,991,414,672,1124,199,622,1133,1321,330,560,2652,331,306,288,89,326,1638,482,33792,2445,1516,1514,9475,349,39,438,11374,2194,574,3348,2103,588,2061,2444,1470,5236,18903,519276,7405,15057,60387,4809,4384,1335,11911,229,12686,1444,2246,6197,74380,1445,4970,1529,1682,1174,4624,6482,0,113673,419,1991,10882,1002017,437741,---,---,2538,---,---,23298,---,---,---,---,---,---,---,---,---,---,---,---,1461304
"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14796,16835,---,---,---,---,---,---,55,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,31686,191127,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,222813
Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2398820,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2398820
Other real estate,27977,68,1820,98,122,6265,26219,428,714,307,3574,1448,3770,418,1712,6513,803,1355,3139,503,142,1196,1521,106,4719,1981,105271,15044,23837,17055,130774,399,355,445,7937,833,420,4922,22145,3542,6849,18883,25494,17975,33253,85224,738,18476,136888,11595,34998,6188,74029,37156,24680,1864,40786,50547,52488,25008,24184,8098,12436,6455,91073,42370,5838,12154,1092,41382,3919,1382016,7178,---,---,179433,23440,---,3089,---,---,---,---,---,---,---,---,---,---,---,---,1595157
Rental and leasing services and lessors of intangible assets,3425,134,7087,1143,1689,1213,25134,164,728,564,1633,1307,236,353,1259,830,137,986,2969,106,129,721,427,1518,3396,701,33499,1089,1858,2569,12673,10537,3399,385,14472,1401,183,2002,1280,2312,3017,11559,11908,3503,7016,5154,27,142,2678,6083,3554,2720,18999,20678,8789,1581,2309,4484,5468,447,565,1170,1214,1590,9389,1464,406,376,465,9905,461,292767,130703,---,---,---,---,---,86809,---,---,---,---,---,---,---,---,---,---,---,---,510278
Legal services,252,52,3138,445,635,5450,7179,731,547,805,3369,1415,2745,167,1784,3997,290,1593,1024,231,145,915,606,1577,3313,1387,14433,517,348,857,5146,201,625,209,767,114,498,1438,330,3482,1164,5285,5304,2153,8505,23470,1228,3826,22366,727,2519,4881,15582,10247,11357,526,406,5174,15986,1070,1042,955,1890,1924,4323,3797,918,340,610,9643,848,240824,122103,---,---,46334,---,---,18748,---,---,---,---,---,---,---,---,---,---,---,---,428008
Computer systems design and related services,317,32,6720,200,17,2388,5570,135,238,194,1056,1721,144,67,344,584,129,390,786,83,40,223,344,771,527,381,16620,2303,854,1153,6691,106,1258,4,2192,111,26,667,434,5266,787,7916,15388,5122,9548,4232,569,627,2599,799,5216,6608,22983,22982,17520,363,1936,6035,11517,1162,1540,193,1114,569,2629,4103,19895,21673,311,20559,2552,280135,---,45913,266581,---,---,---,45824,---,87,11112,---,---,---,28292,---,---,5,11883,---,689832
"Miscellaneous professional, scientific, and technical services",1651,474,8944,2336,3707,19594,98539,2638,3273,4106,9705,5886,6495,1619,6454,7030,2378,6226,13934,1415,902,3372,2210,5239,11538,6346,137170,18379,10745,11075,108293,994,2748,1403,12111,1082,6194,6884,2416,18851,18304,74459,82235,39910,51795,39678,3031,2226,124160,12615,13287,29876,184407,68663,74248,3980,7473,34714,52167,7987,8038,4002,5870,9175,43726,26912,39192,14513,1383,66839,18282,1737505,86635,28464,631115,5651,---,---,198028,---,---,69618,---,---,---,100633,---,---,---,23815,---,2885753
Management of companies and enterprises,---,---,19952,3096,671,22,12836,780,2163,1223,8810,16841,11136,1365,15213,6643,564,3917,23140,1244,1333,2684,868,9859,17419,2775,106563,1366,6087,25984,31308,419,120,791,16656,549,63,8118,976,8828,1153,4339,3138,2795,17110,3049,495,15,3540,6509,7995,6824,32262,125,77660,4551,2866,26882,10724,3672,3077,1824,1956,17536,84497,9777,---,---,511,---,---,707265,---,---,---,---,---,---,3042,---,---,---,---,---,---,---,---,---,---,---,---,710307
Administrative and support services,701,57,1951,694,955,21107,16207,638,1680,2314,7549,2299,2295,534,3452,3672,360,1748,4301,474,749,1678,3191,3786,5374,2238,102584,6453,5421,5163,58048,8976,1994,6401,20956,4117,3307,16116,5506,9461,3437,30783,54169,18804,16657,13290,372,17141,156164,17783,12052,28387,85964,13790,102376,4689,4704,31448,63695,9751,5335,3245,2814,8257,21929,17277,16855,3394,2037,53518,8886,1173513,64899,---,---,---,---,---,4370,---,---,---,---,---,---,---,---,---,---,---,---,1242782
Waste management and remediation services,224,9,1773,233,172,1097,4010,83,256,285,337,203,34,53,193,121,79,131,1284,93,17,270,89,750,1532,302,3554,1008,652,372,2829,19,86,41,2031,71,58,906,1112,163,42,343,140,364,141,1983,479,90,17471,507,163,154,2427,849,3342,12788,877,2329,3279,841,955,86,939,1043,3828,2580,467,419,155,21452,4145,111210,32185,---,---,---,---,---,419,---,---,---,---,---,---,---,---,---,---,---,---,143813
Educational services,15,3,---,---,---,174,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,35,15,---,1,1744,62,1028,---,6309,163,26,---,---,---,18,52,---,---,---,52,193,30,37,---,---,---,---,---,---,37,64,---,2290,---,5288,1,30,---,---,4471,585,---,---,6998,2539,191,431,23464,20,56368,376180,---,---,---,---,---,6352,---,---,---,---,---,---,---,---,---,---,---,---,438900
Ambulatory health care services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,163,---,81,---,---,22617,17410,84,10,96,2,---,---,134,---,740,---,8421,---,49759,1206770,---,---,---,---,---,108,---,---,---,---,---,---,---,---,---,---,---,---,1256637
